192.168.43.207,113.229.254.45,"[['117.136.83.233', ['73', '58', '54']], ['211.137.61.33', ['56', '48', '*']], ['221.183.39.217', ['79', '93', '66']], ['221.183.41.202', ['55', '48', '79']], ['221.183.84.158', ['94', '90', '87']], ['221.183.95.94', ['70', '82', '76']], ['219.158.6.29', ['85', '65', '69']], ['113.230.184.190', ['*', '71', '*']], ['218.25.240.246', ['*', '120', '105']], ['60.21.162.150', ['82', '100', '94']], ['113.229.254.45', ['100', '87', '90']]]"
192.168.43.207,202.116.160.17,"[['117.136.83.233', ['114', '43', '55']], ['211.137.61.33', ['47', '23', '59']], ['221.183.39.221', ['36', '37', '39']], ['221.183.90.218', ['*', '97', '*']], ['221.183.95.218', ['77', '70', '69']], ['101.4.118.178', ['61', '72', '66']], ['202.112.19.86', ['*', '*', '1309']], ['202.112.19.9', ['66', '78', '80']], ['210.38.0.90', ['76', '69', '84']], ['202.116.160.17', ['75', '57', '71']]]"
192.168.43.207,221.231.9.5,"[['117.136.83.245', ['66', '42', '59']], ['120.202.253.229', ['*', '*', '38']], ['221.183.39.221', ['56', '31', '39']], ['221.183.41.194', ['59', '71', '90']], ['221.183.95.46', ['*', '*', '67']], ['218.92.155.106', ['95', '73', '59']], ['218.92.142.109', ['91', '78', '76']], ['218.92.154.234', ['64', '69', '78']], ['221.231.9.5', ['89', '54', '62']]]"
192.168.43.207,14.119.123.196,"[['117.136.83.245', ['62', '46', '39']], ['120.202.253.229', ['66', '54', '57']], ['221.183.39.221', ['57', '59', '39']], ['221.183.90.218', ['*', '73', '70']], ['221.183.128.94', ['70', '69', '73']], ['202.97.95.113', ['57', '*', '*']], ['14.148.18.38', ['87', '63', '67']], ['14.148.19.42', ['95', '72', '60']], ['14.215.220.46', ['87', '*', '93']], ['14.119.123.196', ['70', '52', '68']], ['14.119.123.196', ['73', '67', '65']]]"
192.168.43.207,120.79.206.153,"[['117.136.83.245', ['65', '62', '61']], ['211.137.61.37', ['51', '66', '*']], ['221.183.39.209', ['*', '*', '72']], ['120.196.199.150', ['67', '90', '74']], ['120.241.53.246', ['79', '70', '69']], ['120.79.206.153', ['68', '54', '79']]]"
192.168.43.207,202.119.224.201,"[['117.136.83.245', ['113', '43', '42']], ['211.137.61.37', ['44', '34', '62']], ['221.183.39.213', ['*', '62', '*']], ['221.183.41.118', ['*', '*', '82']], ['221.183.95.42', ['*', '59', '*']], ['221.183.95.222', ['50', '78', '70']], ['101.4.114.85', ['58', '90', '65']], ['101.4.116.97', ['38', '49', '43']], ['219.219.147.142', ['83', '50', '68']], ['202.119.224.201', ['77', '62', '60']]]"
192.168.43.207,202.112.192.195,"[['117.136.83.233', ['43', '48', '35']], ['120.202.253.225', ['37', '50', '28']], ['221.183.41.154', ['59', '48', '53']], ['221.183.90.182', ['72', '47', '49']], ['221.183.21.134', ['59', '57', '51']], ['101.4.116.94', ['63', '68', '63']], ['101.4.117.134', ['95', '63', '73']], ['223.70.225.234', ['80', '84', '75']], ['202.112.192.195', ['144', '65', '67']]]"
192.168.43.207,202.116.36.58,"[['117.136.83.245', ['46', '30', '35']], ['211.137.61.37', ['48', '39', '28']], ['221.183.95.218', ['93', '74', '81']], ['101.4.118.178', ['103', '69', '78']], ['202.112.19.9', ['88', '80', '66']], ['210.38.0.42', ['73', '59', '59']], ['202.116.36.58', ['79', '77', '78']]]"
192.168.43.207,211.65.8.3,"[['117.136.83.233', ['119', '87', '44']], ['120.202.253.225', ['59', '45', '53']], ['221.183.39.209', ['58', '*', '*']], ['221.183.41.118', ['*', '51', '64']], ['221.183.95.222', ['90', '57', '61']], ['101.4.114.85', ['64', '74', '65']], ['101.4.116.97', ['68', '49', '53']], ['219.219.146.2', ['54', '72', '31']], ['219.219.148.146', ['76', '45', '65']], ['219.219.148.222', ['96', '73', '47']], ['211.65.8.3', ['59', '38', '54']]]"
192.168.43.207,219.242.16.33,"[['117.136.83.245', ['66', '57', '61']], ['211.137.61.37', ['50', '52', '*']], ['221.183.39.209', ['*', '*', '56']], ['221.183.41.154', ['*', '*', '53']], ['221.183.90.182', ['*', '72', '64']], ['221.183.68.110', ['77', '58', '57']], ['101.4.115.78', ['*', '83', '*']], ['101.4.116.94', ['73', '59', '57']], ['101.4.117.134', ['84', '98', '77']], ['202.112.41.173', ['74', '60', '85']], ['202.112.41.173', ['91', '63', '76']], ['202.112.41.173', ['104', '63', '57']], ['202.112.41.173', ['79', '64', '92']], ['202.112.41.173', ['57', '74', '75']], ['202.112.41.173', ['68', '81', '90']], ['202.112.41.173', ['97', '54', '72']], ['202.112.41.173', ['92', '59', '82']]]"
