ip,dist,delays
172.24.52.71,202.192.230.232,"[['192.168.13.1', ['109', '6', '5']], ['10.1.1.1', ['3', '4', '2']], ['202.112.5.229', ['6', '5', '2']], ['101.4.113.233', ['45', '9', '2']], ['101.4.112.2', ['*', '15', '13']], ['101.4.117.37', ['23', '24', '22']], ['101.4.116.225', ['37', '37', '37']], ['101.4.114.61', ['40', '39', '44']], ['202.112.19.86', ['*', '1277', '*']], ['222.200.253.5', ['38', '38', '39']], ['222.200.253.2', ['39', '42', '41']], ['202.116.225.254', ['48', '47', '53']]]"
172.24.52.71,210.31.15.253,"[['192.168.13.1', ['77', '48', '13']], ['10.1.1.1', ['5', '1', '1']], ['202.112.5.229', ['4', '2', '2']], ['101.4.113.233', ['7', '7', '6']], ['101.4.116.94', ['5', '2', '2']], ['101.4.117.134', ['100', '5', '4']], ['210.31.15.253', ['4', '2', '2']]]"
172.24.52.71,218.94.27.136,"[['192.168.13.1', ['70', '6', '8']], ['10.1.1.1', ['3', '5', '1']], ['61.148.29.225', ['2', '2', '4']], ['61.148.153.157', ['36', '5', '7']], ['219.232.11.65', ['*', '4', '2']], ['219.158.119.114', ['22', '19', '25']], ['219.158.119.46', ['27', '27', '28']], ['202.97.43.189', ['28', '*', '36']], ['221.231.190.122', ['24', '23', '27']], ['218.94.27.136', ['51', '23', '23']]]"
172.24.52.71,58.240.70.211,"[['192.168.13.1', ['4', '4', '4']], ['10.1.1.1', ['8', '5', '2']], ['61.148.29.225', ['4', '4', '3']], ['61.148.153.149', ['4', '3', '7']], ['202.106.36.145', ['7', '*', '6']], ['125.33.186.33', ['*', '14', '4']], ['219.158.116.114', ['26', '26', '29']], ['221.6.1.250', ['28', '23', '23']], ['122.96.66.142', ['25', '27', '27']], ['58.240.70.195', ['29', '28', '27']]]"
172.24.52.71,120.236.153.47,"[['192.168.13.1', ['25', '6', '11']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['5', '3', '2']], ['61.148.153.157', ['4', '2', '3']], ['219.232.11.65', ['15', '*', '*']], ['61.49.214.33', ['4', '3', '4']], ['219.158.9.74', ['43', '39', '38']], ['219.158.46.154', ['39', '45', '*']], ['221.183.94.173', ['36', '35', '40']], ['221.183.39.178', ['49', '54', '46']], ['120.197.47.238', ['44', '42', '44']], ['120.236.153.34', ['43', '43', '41']]]"
172.24.52.71,42.247.50.232,"[['192.168.13.1', ['6', '8', '7']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['9', '2', '2']], ['101.4.113.233', ['4', '3', '6']], ['101.4.112.2', ['13', '16', '16']], ['101.4.117.37', ['39', '38', '31']], ['101.4.112.37', ['37', '28', '28']], ['101.4.117.34', ['39', '42', '37']], ['101.4.114.61', ['41', '39', '44']], ['42.247.50.232', ['37', '41', '37']]]"
172.24.52.71,202.204.193.84,"[['192.168.13.1', ['33', '22', '12']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['14', '5', '7']]]"
172.24.52.71,202.192.149.1,"[['192.168.13.1', ['93', '7', '5']], ['10.1.1.1', ['2', '1', '2']], ['202.112.5.229', ['6', '5', '2']], ['101.4.113.233', ['11', '7', '7']], ['101.4.115.202', ['26', '25', '25']], ['101.4.112.37', ['31', '31', '39']], ['101.4.117.34', ['80', '39', '42']], ['101.4.114.61', ['43', '42', '45']], ['222.200.253.5', ['54', '40', '39']], ['222.200.253.2', ['43', '42', '53']], ['202.116.225.254', ['72', '53', '45']], ['202.192.158.3', ['55', '52', '52']], ['202.192.149.1', ['54', '57', '55']]]"
172.24.52.71,160.121.22.5,"[['192.168.13.1', ['4', '40', '10']]]"
172.24.52.71,59.38.32.54,"[['192.168.13.1', ['5', '6', '4']], ['10.1.1.1', ['8', '1', '1']], ['61.148.29.225', ['3', '10', '14']], ['61.148.153.157', ['4', '3', '3']], ['61.148.4.237', ['6', '2', '3']], ['61.149.203.45', ['12', '4', '5']], ['219.158.110.54', ['48', '39', '38']], ['202.97.17.149', ['41', '39', '39']], ['202.97.95.141', ['*', '34', '*']], ['14.148.18.34', ['41', '54', '41']], ['14.148.19.178', ['39', '42', '38']]]"
172.24.52.71,219.222.126.12,"[['192.168.13.1', ['10', '6', '13']], ['10.1.1.1', ['1', '2', '1']], ['202.112.5.229', ['6', '2', '2']], ['101.4.113.233', ['6', '15', '2']], ['101.4.112.2', ['15', '12', '12']], ['101.4.117.37', ['26', '23', '26']], ['101.4.116.225', ['44', '41', '37']], ['101.4.114.61', ['41', '40', '40']], ['202.112.19.86', ['1300', '*', '*']], ['222.200.253.5', ['42', '38', '38']], ['222.200.253.2', ['40', '54', '44']], ['202.116.225.254', ['60', '45', '42']], ['219.222.112.1', ['47', '53', '46']], ['219.222.126.12', ['48', '46', '46']]]"
172.24.52.71,210.39.4.1,"[['192.168.13.1', ['22', '7', '121']], ['10.1.1.1', ['1', '2', '2']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['7', '10', '2']], ['101.4.112.2', ['15', '13', '15']], ['101.4.117.37', ['27', '26', '38']], ['101.4.116.225', ['56', '39', '38']], ['101.4.117.94', ['47', '43', '45']], ['101.4.112.221', ['43', '76', '41']], ['202.112.38.222', ['42', '42', '42']], ['172.16.16.2', ['44', '42', '47']], ['192.168.254.221', ['45', '45', '45']], ['210.39.4.1', ['43', '49', '46']]]"
172.24.52.71,211.71.1.44,"[['192.168.13.1', ['7', '5', '5']], ['10.1.1.1', ['6', '5', '1']], ['202.112.5.229', ['3', '2', '3']], ['101.4.113.233', ['2', '2', '2']], ['101.4.112.98', ['*', '*', '5']], ['101.4.113.65', ['43', '4', '6']], ['202.112.42.98', ['*', '3', '2']]]"
172.24.52.71,218.241.234.116,"[['192.168.13.1', ['8', '5', '6']], ['10.1.1.1', ['1', '2', '1']], ['61.148.29.225', ['12', '6', '9']], ['61.148.153.157', ['9', '2', '6']], ['219.232.11.65', ['*', '*', '3']], ['202.106.192.6', ['15', '2', '2']], ['61.149.212.230', ['6', '7', '5']], ['202.99.1.214', ['10', '6', '5']], ['124.205.98.58', ['14', '4', '5']], ['124.205.98.146', ['21', '8', '4']]]"
172.24.52.71,210.28.168.10,"[['192.168.13.1', ['67', '15', '245']], ['10.1.1.1', ['2', '1', '2']], ['202.112.5.229', ['3', '2', '2']], ['101.4.113.233', ['10', '8', '2']], ['101.4.115.202', ['25', '25', '29']], ['101.4.112.62', ['32', '32', '41']], ['101.4.117.26', ['34', '34', '34']], ['101.4.116.97', ['36', '35', '34']], ['219.219.145.2', ['*', '33', '35']], ['219.219.145.6', ['*', '34', '34']], ['219.219.148.46', ['36', '36', '213']], ['210.28.168.10', ['36', '37', '35']]]"
172.24.52.71,125.216.104.1,"[['192.168.13.1', ['5', '54', '9']], ['10.1.1.1', ['1', '1', '2']], ['202.112.5.229', ['3', '2', '2']], ['101.4.113.233', ['2', '5', '3']], ['101.4.112.2', ['18', '16', '15']], ['101.4.117.37', ['44', '23', '36']], ['101.4.116.225', ['41', '37', '37']], ['101.4.114.61', ['43', '40', '138']], ['222.200.253.5', ['41', '37', '39']], ['222.200.253.2', ['40', '143', '40']], ['202.116.225.254', ['47', '40', '51']], ['125.216.104.1', ['401', '408', '409']]]"
172.24.52.71,218.94.97.18,"[['192.168.13.1', ['9', '16', '11']], ['10.1.1.1', ['136', '20', '3']], ['61.148.29.225', ['4', '3', '2']], ['61.148.153.149', ['4', '2', '6']], ['61.148.4.213', ['6', '3', '2']], ['61.49.214.41', ['5', '5', '4']], ['219.158.119.114', ['23', '19', '21']], ['219.158.17.90', ['27', '31', '24']], ['202.97.24.49', ['32', '*', '28']], ['61.155.228.134', ['*', '27', '26']], ['218.2.133.58', ['146', '31', '34']], ['218.94.97.30', ['27', '27', '26']]]"
172.24.52.71,211.66.80.162,"[['192.168.13.1', ['122', '33', '96']], ['10.1.1.1', ['2', '1', '2']], ['202.112.5.229', ['4', '2', '3']], ['101.4.113.233', ['2', '5', '5']], ['101.4.115.202', ['26', '26', '33']], ['101.4.116.225', ['39', '44', '43']], ['101.4.114.61', ['56', '70', '43']], ['211.66.80.162', ['46', '43', '44']]]"
172.24.52.71,121.248.150.233,"[['192.168.13.1', ['5', '7', '4']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['2', '6', '6']], ['101.4.113.233', ['3', '3', '4']], ['101.4.115.202', ['25', '39', '27']], ['101.4.112.62', ['40', '32', '31']], ['101.4.117.26', ['74', '41', '34']], ['101.4.116.97', ['39', '36', '39']], ['211.65.206.94', ['200', '34', '35']]]"
172.24.52.71,111.204.7.47,"[['192.168.13.1', ['6', '34', '11']], ['10.1.1.1', ['12', '3', '5']], ['61.148.29.225', ['2', '2', '5']], ['61.148.153.157', ['6', '3', '3']], ['61.148.157.229', ['5', '*', '5']], ['221.222.117.18', ['44', '6', '6']], ['111.207.66.194', ['47', '12', '11']], ['111.204.7.47', ['7', '8', '8']]]"
172.24.52.71,121.33.253.212,"[['192.168.13.1', ['106', '147', '14']], ['10.1.1.1', ['5', '2', '2']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.157', ['7', '2', '19']], ['219.232.11.65', ['4', '*', '*']], ['124.65.194.153', ['5', '*', '4']], ['219.158.9.30', ['41', '39', '39']], ['202.97.17.169', ['47', '44', '39']], ['202.97.81.249', ['*', '37', '39']], ['14.147.5.146', ['48', '37', '35']], ['113.98.86.190', ['73', '36', '41']], ['121.8.185.98', ['38', '43', '38']]]"
172.24.52.71,27.221.108.50,"[['192.168.13.1', ['30', '149', '205']], ['10.1.1.1', ['2', '2', '2']], ['61.148.29.225', ['6', '2', '2']], ['61.148.153.157', ['7', '6', '4']], ['61.148.4.237', ['5', '3', '7']], ['202.96.12.89', ['6', '5', '5']], ['219.158.4.242', ['19', '*', '14']]]"
172.24.52.71,123.129.227.50,"[['192.168.13.1', ['180', '77', '212']], ['10.1.1.1', ['7', '1', '6']], ['61.148.29.225', ['70', '33', '33']], ['61.148.153.157', ['3', '3', '3']], ['61.148.157.229', ['24', '8', '*']], ['61.49.214.45', ['22', '4', '3']], ['219.158.4.222', ['11', '11', '11']], ['61.162.5.2', ['*', '*', '19']], ['123.129.227.50', ['15', '11', '12']]]"
172.24.52.71,61.54.31.41,"[['192.168.13.1', ['44', '7', '4']], ['10.1.1.1', ['2', '2', '7']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.149', ['3', '3', '2']], ['202.106.36.145', ['3', '*', '10']], ['61.168.27.114', ['22', '16', '19']], ['218.28.162.210', ['30', '19', '19']], ['61.54.31.41', ['22', '17', '18']]]"
172.24.52.71,150.158.216.135,"[['192.168.13.1', ['6', '6', '4']], ['10.1.1.1', ['3', '7', '1']], ['61.148.29.225', ['41', '4', '2']], ['61.148.153.149', ['3', '3', '3']], ['61.148.4.213', ['7', '4', '7']], ['114.243.132.234', ['17', '4', '5']], ['61.49.142.158', ['16', '13', '13']], ['150.158.216.135', ['30', '26', '26']]]"
172.24.52.71,218.25.29.184,"[['192.168.13.1', ['5', '36', '6']], ['10.1.1.1', ['11', '1', '1']], ['61.148.29.225', ['8', '5', '3']], ['61.148.153.157', ['3', '3', '2']], ['61.148.157.229', ['*', '4', '12']], ['219.158.101.14', ['15', '15', '14']], ['113.230.185.138', ['142', '29', '16']], ['218.25.8.134', ['15', '14', '15']], ['218.25.29.184', ['18', '17', '24']]]"
172.24.52.71,121.194.14.142,"[['192.168.13.1', ['12', '5', '4']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['7', '208', '19']], ['101.4.113.233', ['8', '4', '4']], ['101.4.115.202', ['29', '29', '28']], ['101.4.112.62', ['34', '33', '33']], ['101.4.117.26', ['36', '35', '35']], ['101.4.116.97', ['35', '37', '36']], ['121.194.14.130', ['35', '35', '37']], ['121.194.14.142', ['35', '34', '38']]]"
172.24.52.71,202.104.205.215,"[['192.168.13.1', ['5', '7', '34']], ['10.1.1.1', ['1', '1', '6']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.157', ['13', '11', '3']], ['61.148.4.237', ['6', '6', '3']], ['219.158.109.70', ['39', '84', '49']], ['202.97.81.41', ['39', '42', '58']], ['202.97.95.93', ['72', '*', '*']], ['14.148.34.58', ['42', '37', '38']], ['14.148.38.122', ['*', '37', '37']], ['202.104.205.215', ['86', '41', '39']], ['202.104.205.215', ['88', '55', '40']]]"
172.24.52.71,219.222.224.66,"[['192.168.13.1', ['18', '5', '4']], ['10.1.1.1', ['1', '2', '5']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['2', '2', '4']], ['101.4.115.202', ['25', '45', '33']], ['101.4.116.225', ['39', '38', '40']], ['101.4.114.61', ['44', '44', '44']], ['183.6.17.88', ['49', '41', '42']]]"
172.24.52.71,58.210.207.242,"[['192.168.13.1', ['6', '5', '7']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.149', ['3', '2', '2']], ['219.158.4.82', ['25', '63', '26']], ['219.158.99.26', ['30', '30', '31']], ['58.211.25.114', ['42', '39', '40']], ['202.111.124.190', ['31', '*', '33']]]"
172.24.52.71,125.64.42.59,"[['192.168.13.1', ['11', '11', '7']], ['10.1.1.1', ['2', '2', '7']], ['61.148.29.225', ['5', '2', '2']], ['61.148.153.149', ['4', '2', '2']], ['202.106.36.145', ['4', '10', '*']], ['61.49.214.21', ['4', '*', '8']], ['219.158.110.206', ['57', '39', '39']], ['219.158.24.170', ['33', '31', '32']], ['125.64.29.110', ['36', '31', '30']], ['182.140.208.142', ['38', '35', '40']], ['125.64.42.59', ['35', '34', '34']]]"
172.24.52.71,58.62.159.29,"[['192.168.13.1', ['26', '24', '55']], ['10.1.1.1', ['4', '6', '4']], ['61.148.29.225', ['3', '4', '4']], ['61.148.153.157', ['6', '6', '3']], ['61.148.4.237', ['6', '6', '3']], ['219.158.24.10', ['48', '46', '47']], ['202.97.17.161', ['41', '43', '39']], ['202.97.95.133', ['57', '*', '42']], ['14.147.8.22', ['43', '47', '39']], ['218.19.224.146', ['39', '38', '76']], ['58.62.159.29', ['40', '38', '38']]]"
172.24.52.71,202.119.189.80,"[['192.168.13.1', ['92', '153', '117']], ['10.1.1.1', ['1', '2', '13']], ['202.112.5.229', ['5', '2', '6']], ['101.4.113.233', ['2', '2', '3']], ['101.4.112.2', ['17', '16', '15']], ['101.4.117.37', ['23', '28', '24']], ['101.4.112.62', ['39', '30', '41']], ['101.4.117.26', ['32', '32', '32']], ['101.4.116.97', ['36', '32', '32']], ['211.65.206.94', ['*', '36', '36']], ['211.65.206.210', ['33', '32', '31']]]"
172.24.52.71,124.17.100.129,"[['192.168.13.1', ['37', '25', '214']], ['10.1.1.1', ['4', '2', '1']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.157', ['4', '3', '3']], ['61.148.4.237', ['6', '6', '7']], ['61.49.214.5', ['17', '6', '3']], ['219.158.3.66', ['6', '7', '3']], ['219.158.39.2', ['5', '5', '4']], ['159.226.254.69', ['13', '4', '6']], ['159.226.254.94', ['12', '8', '6']]]"
172.24.52.71,162.105.131.160,"[['192.168.13.1', ['159', '108', '14']], ['10.1.1.1', ['5', '1', '2']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['3', '2', '2']], ['101.4.116.94', ['5', '3', '2']], ['101.4.117.134', ['4', '3', '3']], ['202.112.41.181', ['10', '5', '3']], ['202.112.41.2', ['9', '6', '5']], ['162.105.252.234', ['4', '10', '13']], ['162.105.253.58', ['3', '5', '3']]]"
172.24.52.71,218.3.172.15,"[['192.168.13.1', ['87', '135', '6']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['3', '2', '5']], ['61.148.153.149', ['12', '2', '2']], ['219.158.116.114', ['*', '28', '24']], ['219.158.17.70', ['37', '19', '23']], ['221.229.236.66', ['34', '33', '35']], ['61.147.5.110', ['42', '38', '128']], ['218.3.172.2', ['*', '*', '29']]]"
172.24.52.71,121.194.14.84,"[['192.168.13.1', ['8', '11', '6']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['9', '2', '2']], ['101.4.113.233', ['7', '5', '3']], ['101.4.112.14', ['*', '38', '19']], ['101.4.117.177', ['24', '19', '19']], ['202.200.28.186', ['19', '19', '42']], ['121.194.14.84', ['30', '18', '18']]]"
172.24.52.71,61.158.236.55,"[['192.168.13.1', ['6', '4', '5']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['2', '2', '6']], ['61.148.153.157', ['6', '7', '3']], ['61.148.158.69', ['*', '28', '*']], ['219.158.116.2', ['14', '13', '16']], ['61.158.253.210', ['13', '11', '13']], ['61.158.236.55', ['12', '16', '11']]]"
172.24.52.71,210.38.224.226,"[['192.168.13.1', ['9', '9', '50']], ['10.1.1.1', ['1', '1', '1']], ['202.112.5.229', ['6', '2', '2']], ['101.4.113.233', ['3', '3', '5']], ['101.4.115.202', ['46', '26', '26']], ['101.4.112.37', ['33', '43', '62']], ['101.4.117.34', ['40', '39', '45']], ['101.4.114.61', ['77', '54', '44']]]"
172.24.52.71,202.112.209.92,"[['192.168.13.1', ['22', '7', '121']], ['10.1.1.1', ['2', '1', '2']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['6', '3', '8']], ['101.4.112.98', ['44', '*', '4']], ['101.4.113.65', ['4', '4', '5']], ['61.148.29.42', ['3', '2', '2']]]"
172.24.52.71,120.85.132.133,"[['192.168.13.1', ['14', '5', '10']], ['10.1.1.1', ['6', '1', '1']], ['61.148.29.225', ['5', '3', '4']], ['61.148.153.157', ['4', '7', '7']], ['61.148.158.69', ['*', '*', '6']], ['125.33.186.189', ['5', '3', '2']], ['157.18.0.26', ['39', '81', '39']], ['120.80.170.242', ['42', '40', '123']]]"
172.24.52.71,218.4.189.20,"[['192.168.13.1', ['6', '5', '8']], ['10.1.1.1', ['1', '2', '1']], ['61.148.29.225', ['15', '18', '19']], ['61.148.153.157', ['9', '7', '3']], ['61.148.158.69', ['*', '5', '5']], ['125.33.186.177', ['3', '4', '4']], ['219.158.4.82', ['24', '25', '25']], ['219.158.17.70', ['29', '37', '25']], ['202.97.40.97', ['30', '*', '29']], ['218.94.164.158', ['35', '60', '32']], ['221.224.104.250', ['*', '*', '36']], ['218.4.189.20', ['57', '30', '34']]]"
172.24.52.71,223.112.202.62,"[['192.168.13.1', ['6', '7', '5']], ['10.1.1.1', ['6', '6', '2']], ['61.148.29.225', ['5', '3', '4']], ['61.148.153.157', ['7', '3', '3']], ['61.148.4.237', ['7', '7', '3']], ['219.158.7.82', ['24', '20', '20']], ['219.158.119.10', ['23', '24', '21']], ['219.158.44.26', ['32', '34', '*']], ['221.183.95.37', ['45', '21', '20']], ['221.183.113.86', ['24', '27', '28']], ['112.1.88.18', ['35', '30', '28']], ['223.112.202.62', ['78', '27', '40']]]"
172.24.52.71,211.68.69.240,"[['192.168.13.1', ['7', '4', '11']], ['10.1.1.1', ['2', '1', '1']], ['202.112.5.229', ['14', '7', '12']], ['101.4.113.233', ['12', '2', '2']], ['101.4.112.98', ['*', '8', '*']], ['101.4.113.65', ['12', '3', '3']], ['202.112.42.2', ['50', '3', '2']], ['211.68.69.240', ['36', '2', '2']]]"
172.24.52.71,111.202.89.81,"[['192.168.13.1', ['9', '54', '12']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['6', '2', '5']], ['61.148.153.157', ['6', '3', '3']], ['61.148.158.69', ['*', '8', '*']], ['221.219.202.134', ['5', '3', '5']], ['111.206.115.146', ['13', '11', '15']], ['120.92.223.154', ['13', '8', '10']]]"
172.24.52.71,202.204.112.10,"[['192.168.13.1', ['7', '5', '9']], ['10.0.7.2', ['10', '7', '3']], ['202.204.112.10', ['4', '1', '1']]]"
172.24.52.71,218.90.174.166,"[['192.168.13.1', ['7', '7', '6']], ['10.1.1.1', ['2', '1', '1']], ['61.148.29.225', ['7', '9', '5']], ['61.148.153.149', ['4', '2', '5']], ['61.148.4.213', ['50', '5', '8']], ['124.65.194.105', ['8', '3', '*']], ['219.158.119.114', ['19', '19', '19']], ['219.158.119.46', ['28', '27', '27']], ['221.228.0.30', ['24', '25', '24']], ['58.215.152.54', ['282', '28', '50']]]"
172.24.52.71,202.195.176.21,[]
172.24.52.71,202.204.216.10,"[['192.168.13.1', ['5', '4', '4']], ['10.1.1.1', ['3', '2', '9']], ['202.112.5.229', ['3', '5', '5']], ['101.4.113.233', ['3', '9', '2']], ['101.4.116.94', ['4', '3', '3']], ['101.4.117.134', ['5', '3', '3']]]"
172.24.52.71,112.13.67.100,"[['192.168.13.1', ['52', '19', '8']], ['10.1.1.1', ['2', '1', '1']], ['61.148.29.225', ['5', '7', '3']], ['61.148.153.149', ['3', '2', '2']], ['61.49.214.21', ['5', '3', '3']], ['219.158.99.6', ['35', '39', '31']], ['219.158.7.206', ['35', '35', '73']], ['219.158.44.38', ['32', '37', '31']], ['221.183.95.121', ['208', '30', '45']]]"
172.24.52.71,61.144.79.252,"[['192.168.13.1', ['8', '10', '5']], ['10.1.1.1', ['4', '5', '1']], ['61.148.29.225', ['2', '5', '23']], ['61.148.153.157', ['10', '2', '3']], ['61.149.203.185', ['*', '5', '3']], ['219.158.119.14', ['65', '41', '48']], ['202.97.17.165', ['*', '51', '43']], ['202.97.81.245', ['*', '36', '36']], ['14.147.4.122', ['41', '36', '37']], ['218.19.193.30', ['45', '47', '39']], ['61.144.79.252', ['39', '38', '38']]]"
172.24.52.71,125.64.42.58,"[['192.168.13.1', ['50', '7', '7']], ['10.1.1.1', ['7', '1', '1']], ['61.148.29.225', ['4', '6', '9']], ['61.148.153.149', ['11', '6', '2']], ['61.149.203.205', ['8', '14', '3']], ['219.158.110.206', ['49', '39', '38']], ['219.158.99.22', ['43', '39', '39']], ['202.97.95.33', ['40', '34', '33']], ['118.112.255.2', ['34', '47', '*']], ['125.64.29.106', ['36', '35', '36']], ['182.140.208.134', ['43', '35', '38']], ['125.64.42.58', ['147', '35', '36']]]"
172.24.52.71,211.100.247.238,"[['192.168.13.1', ['14', '45', '44']], ['10.1.1.1', ['2', '1', '7']], ['61.148.29.225', ['5', '3', '4']], ['61.148.153.157', ['5', '3', '6']], ['219.232.11.65', ['*', '6', '*']], ['202.96.13.254', ['5', '8', '10']], ['61.149.212.242', ['30', '8', '*']], ['218.241.253.129', ['9', '4', '*']], ['218.241.253.122', ['29', '39', '8']]]"
172.24.52.71,220.170.193.10,"[['192.168.13.1', ['42', '19', '18']], ['10.1.1.1', ['1', '2', '1']], ['61.148.29.225', ['3', '3', '4']], ['61.148.153.149', ['4', '2', '2']], ['61.148.4.213', ['3', '3', '3']], ['202.96.12.13', ['4', '4', '*']], ['219.158.98.74', ['40', '52', '36']], ['219.158.10.106', ['51', '*', '29']], ['202.97.63.117', ['*', '29', '34']], ['61.137.14.98', ['38', '35', '35']], ['218.76.192.70', ['46', '33', '35']]]"
172.24.52.71,111.203.95.14,"[['192.168.13.1', ['11', '5', '6']], ['10.1.1.1', ['2', '1', '1']], ['61.148.29.225', ['6', '4', '12']], ['61.148.153.149', ['4', '2', '2']], ['202.106.36.145', ['6', '3', '4']], ['125.33.187.210', ['4', '4', '4']]]"
172.24.52.71,61.187.187.181,"[['192.168.13.1', ['38', '7', '56']], ['10.1.1.1', ['5', '2', '5']], ['61.148.29.225', ['4', '4', '2']], ['61.148.153.157', ['21', '11', '12']], ['61.49.214.21', ['*', '9', '*']], ['219.158.98.74', ['31', '30', '42']], ['219.158.10.106', ['*', '*', '31']], ['202.97.63.113', ['38', '30', '32']], ['61.137.15.254', ['36', '37', '36']], ['61.187.185.74', ['36', '38', '38']], ['61.187.187.183', ['40', '42', '39']]]"
172.24.52.71,117.78.21.183,"[['192.168.13.1', ['14', '55', '24']], ['10.1.1.1', ['3', '7', '4']], ['61.148.29.225', ['3', '2', '3']], ['61.148.153.149', ['3', '5', '2']], ['219.232.11.29', ['*', '*', '13']], ['125.33.185.126', ['7', '11', '18']], ['61.49.137.2', ['20', '5', '4']]]"
172.24.52.71,222.189.163.237,"[['192.168.13.1', ['12', '5', '92']], ['10.1.1.1', ['1', '1', '2']], ['61.148.29.225', ['31', '7', '3']], ['61.148.153.157', ['6', '15', '3']], ['219.232.11.65', ['*', '*', '35']], ['219.158.4.82', ['40', '24', '25']], ['219.158.119.46', ['28', '31', '30']], ['202.97.40.73', ['*', '30', '26']], ['58.220.168.82', ['31', '30', '29']], ['58.220.150.202', ['44', '33', '29']]]"
172.24.52.71,60.18.250.149,"[['192.168.13.1', ['14', '12', '4']], ['10.1.1.1', ['3', '3', '2']], ['61.148.29.225', ['5', '12', '3']], ['61.148.153.157', ['34', '4', '3']], ['61.148.158.69', ['*', '5', '5']], ['219.158.105.90', ['24', '16', '18']], ['113.230.166.122', ['15', '15', '17']], ['123.189.195.54', ['92', '16', '35']], ['123.189.200.2', ['114', '21', '19']], ['221.203.153.198', ['19', '16', '16']], ['告: 无法访问目标主机。\n', ['*', '221.', '.153.1']]]"
172.24.52.71,221.195.112.55,"[['192.168.13.1', ['47', '8', '92']], ['10.1.1.1', ['2', '7', '429']], ['61.148.29.225', ['48', '2', '3']], ['61.148.153.149', ['52', '3', '4']], ['61.148.4.213', ['30', '11', '3']], ['219.158.98.66', ['7', '*', '*']], ['61.182.182.78', ['7', '7', '12']], ['221.195.248.38', ['14', '7', '9']], ['221.195.254.110', ['10', '10', '7']]]"
172.24.52.71,60.10.19.121,"[['192.168.13.1', ['7', '7', '6']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['2', '2', '3']], ['61.148.153.157', ['4', '6', '3']], ['61.148.157.229', ['*', '4', '*']], ['61.182.179.138', ['*', '12', '7']], ['60.10.253.230', ['8', '9', '9']], ['60.10.127.82', ['4', '4', '4']]]"
172.24.52.71,58.216.203.141,"[['192.168.13.1', ['14', '44', '6']], ['10.1.1.1', ['3', '14', '6']], ['61.148.29.225', ['13', '2', '5']], ['61.148.153.157', ['7', '7', '7']], ['61.148.4.237', ['8', '5', '8']], ['219.158.100.58', ['23', '21', '20']], ['219.158.105.102', ['25', '24', '25']], ['58.216.40.146', ['32', '30', '28']], ['58.216.121.254', ['34', '29', '252']], ['58.216.203.141', ['30', '45', '31']]]"
172.24.52.71,122.114.174.9,"[['192.168.13.1', ['5', '11', '14']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['2', '3', '2']], ['61.148.153.157', ['7', '11', '6']], ['61.148.4.237', ['6', '3', '3']], ['202.96.12.65', ['5', '5', '3']], ['219.158.108.170', ['*', '18', '16']], ['61.168.37.94', ['*', '*', '17']], ['115.60.218.214', ['38', '*', '18']], ['218.28.198.222', ['18', '18', '18']], ['122.114.174.9', ['19', '15', '16']]]"
172.24.52.71,222.30.226.10,"[['192.168.13.1', ['6', '8', '5']], ['10.1.1.1', ['4', '5', '2']], ['202.112.5.229', ['6', '3', '2']], ['101.4.113.233', ['3', '2', '6']], ['101.4.116.214', ['3', '4', '2']], ['101.4.115.238', ['11', '14', '11']], ['202.206.233.254', ['7', '8', '52']], ['202.206.100.90', ['7', '10', '12']]]"
172.24.52.71,202.195.160.83,"[['192.168.13.1', ['5', '5', '5']], ['10.1.1.1', ['5', '1', '1']], ['202.112.5.229', ['8', '2', '2']], ['101.4.113.233', ['2', '3', '2']], ['101.4.112.2', ['48', '45', '13']], ['101.4.117.37', ['85', '23', '45']], ['101.4.112.62', ['56', '68', '69']], ['101.4.117.26', ['75', '69', '67']], ['101.4.116.97', ['82', '67', '68']], ['219.219.145.2', ['70', '33', '32']], ['219.219.147.78', ['44', '53', '39']], ['219.219.148.202', ['51', '39', '35']]]"
