ip,addr,name,mail,longitude,latitude
125.64.42.59,['南京市江宁区铜山金铜路2号'],金肯职业技术学院,[],118.880084,31.684985
61.158.236.55,['江苏省无锡市藕塘职教园区钱胡路812号'],江南影视艺术学院,['214153'],120.174292,31.569828
223.112.202.62,['江苏省常州市新北区嫩江路1号'],建东职业技术学院,[],119.977180,31.875708
125.64.42.58,['江苏省昆山市巴城镇湖滨北路288号'],苏州托普信息职业技术学院,['215311'],120.847010,31.462679
218.90.174.166,['无锡市新锡路8号'],无锡科技职业学院,[],120.398593,31.524483
210.30.199.4,['辽宁省沈阳市和平区文化路三巷11号'],东北大学网站,['110819'],123.412428,41.764853
202.199.91.30,['沈阳经济技术开发区沈辽西路111号'],沈阳工业大学官方网站,['110870'],123.253125,41.734630
202.199.128.144,['大连市沙河口区黄河路794号'],大连交通大学,['116028'],121.571568,38.911892
210.30.48.9,['大连市甘井子区轻工苑1号'],大连工业大学,[' 116034'],121.524934,38.974340
221.202.203.193,['辽宁省营口市鲅鱼圈区'],【辽宁农业职业技术学院-全国高职示范院校】,['115009'],122.107814,40.230636
218.25.29.184,['辽宁省沈阳市沈北新区沈北路88号'],辽宁经济管理干部学院 | 辽宁经济职业技术学院,['110122'],123.492091,41.936175
117.78.21.183,['辽宁省_沈阳市_于洪区_沈北大学城'],辽宁广告职业学院,[],123.349672,41.918048
60.18.250.149,['辽宁省铁岭市银州区岭东街一委'],辽宁职业学院,['112099'],123.869454,42.286813
122.114.174.9,['辽宁省铁岭市新城区鸭绿江路18号'],辽宁工程职业学院,['112008'],123.749989,42.242770
218.75.230.30,['湖南·湘潭市桃园路(411201)'],湖南科技大学,[],112.921779,27.902005
61.187.55.38,['湖南省长沙市芙蓉区农大路1号'],湖南农业大学欢迎您!,['410128'],113.084136,28.183097
220.170.193.10,['湖南.邵阳.邵阳市七里坪/李子园'],邵阳学院,[],111.475926,27.165189
114.55.179.103,['湖南省株洲市石峰区职教大学城智慧路1号'],湖南铁路科技职业技术学院,[],113.162439,27.902192
220.168.55.211,['长沙市星沙经济技术开发区天华路322号'],湖南大众传媒学院网站,['410100'],113.077208,28.257648
218.75.213.2,['湖南省株洲市云龙示范区职教大学城'],湖南化工职业技术学院,['412000'],113.165843,27.897808
218.75.249.183,['湖南省湘潭市河东大道10号'],湖南理工职业技术学院,[],112.922133,27.836113
219.142.53.35,['长沙市天心区中豹塘路196号'],保险职业学院 - 保险职业学院,['410114'],113.000761,28.092280
61.187.187.181,['郴州市王仙岭郴州大道909号'],郴州职业技术学院,['423000'],113.092894,25.782640
211.99.114.161,['湖南省湘潭市双拥中路'],湘潭医卫职业技术学院欢迎您！,['411104'],112.947556,27.836603
202.206.64.189,['河北省石家庄市裕翔街26号'],河北科技大学,['050018'],114.521243,37.976359
111.202.89.54,[' 河北省邯郸经济技术开发区太极路19号'],河北工程大学,[' 056038'],114.601006,36.654771
202.206.100.34,['河北省石家庄市南二环东路20号'],河北师范大学,['050024'],114.513526,37.997898
123.183.169.58,['河北省邢台市桥东区泉北东大街88号'],邢台学院新版,[],114.506508,37.090155
60.10.19.121,['河北省廊坊市爱民西道100号'],首页org-廊坊师范学院,['065000'],116.673378,39.524835
211.81.176.18,['河北省石家庄市学府路82号'],河北体育学院,['050041'],114.499530,38.124494
27.191.138.28,['唐山市大学西道9号'],唐山学院- 唐山学院,['063000'],118.164626,39.676950
60.2.96.130,['河北省唐山市北新西道8'],河北能源职业技术学院-河北能源职业技术学院官方网站,['063004'],118.173289,39.633665
110.249.137.60,['河北省石家庄市南二环汇文街16号'],河北女子职业技术学院,[],114.449430,37.998268
121.28.64.219,[' 石家庄市四水厂路18号'],石家庄铁路职业技术学院,['050041'],114.525793,38.088297
221.195.112.55,['河北省沧州市运河区九河西路'],沧州职业技术学院官方网站,['061001'],116.826642,38.280084
59.67.208.80,['唐山市曹妃甸新城渤海大道25号'],唐山工业职业技术学院,['063299'],118.573432,39.202695
27.189.242.159,['河北三河经济开发区'],廊坊燕京职业技术学院,['065200'],116.844911,39.955329
220.195.3.14,['定州市刀枪街3号（南校区）定州市北门街北口（北校区）'],冀中职业学院,[],115.001895,38.516347
219.226.132.32,['河北省保定市瑞祥大街282号'],华北电力大学科技学院,[],115.489524,38.887318
202.206.64.189,['河北省石家庄市裕华东路70号'],河北科技大学理工学院,['050018'],114.485895,38.032010
222.30.226.10,['石家庄市红旗大街469号'],河北师范大学汇华学院,['050091'],114.460492,38.007436
115.24.175.50,['天津市红桥区光荣道29号'],河北工业大学城市学院,['300132'],117.169870,39.173110
218.196.240.2,['河南省焦作市世纪路2001号'],河南理工大学,[],113.260921,35.185555
117.159.163.173,['焦作市山阳路998号'],焦作师范高等专科学校欢迎您！,['454000'],113.271683,35.214869
122.114.27.202,['河南省开封市祥符区黄龙大道1号'],郑州电力职业技术学院,[],114.485856,34.751525
218.28.34.35,['河南省郑州市郑东新区龙子湖高校园区'],郑州信息科技职业学院,[],113.790977,34.794009
42.247.49.181,['河南焦作沁阳香港街1号'],焦作工贸职业学院,['454550'],112.914703,35.083772
116.255.153.171,['郑州市新郑龙湖大学城南107国道西侧招生处'],郑州理工职业学院职业技术学院,['450000'],113.707704,34.436475
218.196.240.2,['河南省焦作市世纪路2001号'],河南理工大学,[],113.260921,35.185555
111.202.89.81,['内蒙古赤峰市红山区迎宾路1号'],赤峰学院,['024000'],118.917638,42.243675
39.104.138.103,['内蒙古通辽经济开发区辽河大街东段'],科尔沁艺术职业学院,['028000'],122.248991,43.651827
111.202.89.76,['内蒙古呼和浩特市赛罕区苏尔干街8号'],内蒙古电子信息职业技术学院,[],111.850726,40.901222
36.27.212.84,['内蒙古呼和浩特市大学城内蒙古北方职业技术学院'],内蒙古北方职业技术学院,['010070'],111.842710,40.897405
110.16.72.195,['内蒙古呼和浩特市新城区成吉思汗大街19号'],内蒙古体育职业学院,[],111.673663,40.858069
117.34.13.5,['呼伦贝尔市中心城新区规划3道街'],呼伦贝尔职业技术学院,['021000'],119.761419,49.166906
110.16.109.230,['呼和浩特昭君路24号'],内蒙古大学创业学院,[],111.679537,40.759274
